,name,year,place,style,genre,painting_url
316,The Banks of the Seine with Boats,1887,"Paris, France","
Post-Impressionism,
Neo-Impressionism
","
landscape
",https://uploads8.wikiart.org/images/vincent-van-gogh/the-banks-of-the-seine-with-boats-1887.jpg
317,The Boulevard de Clichy,1887,"Paris, France","
Post-Impressionism,
Neo-Impressionism
","
cityscape
",https://uploads7.wikiart.org/images/vincent-van-gogh/the-boulevard-de-clichy-1887.jpg
318,The Brothel,1887,"Arles-sur-tech, France","
Post-Impressionism
","
genre painting
",https://uploads4.wikiart.org/images/vincent-van-gogh/the-brothel-1887.jpg
319,The Factory at Asnieres,1887,"Paris, France","
Post-Impressionism,
Neo-Impressionism
","
cityscape
",https://uploads7.wikiart.org/images/vincent-van-gogh/the-factory-at-asnieres-1887.jpg
320,The Garden with Sunflower,1887,"Paris, France","
Post-Impressionism
","
landscape
",https://uploads0.wikiart.org/images/vincent-van-gogh/the-garden-with-sunflower-1887.jpg
321,The Restaurant de la Sirene at Asnieres,1887,"Paris, France","
Post-Impressionism
","
cityscape
",https://uploads5.wikiart.org/images/vincent-van-gogh/the-restaurant-de-la-sirene-at-asnieres-1887.jpg
322,The Rispal Restaurant at Asnieres,1887,"Paris, France","
Post-Impressionism,
Neo-Impressionism
","
cityscape
",https://uploads8.wikiart.org/images/vincent-van-gogh/the-rispal-restaurant-at-asnieres-1887.jpg
323,The Seine Bridge at Asnieres,1887,"Paris, France","
Post-Impressionism
","
cityscape
",https://uploads3.wikiart.org/images/vincent-van-gogh/the-seine-bridge-at-asnieres-1887.jpg
324,The Seine with a Rowing Boat,1887,"Paris, France","
Post-Impressionism
","
landscape
",https://uploads3.wikiart.org/images/vincent-van-gogh/the-seine-with-a-rowing-boat-1887.jpg
325,The Seine with the Pont de Clichy,1887,"Paris, France","
Post-Impressionism
","
cityscape
",https://uploads1.wikiart.org/images/vincent-van-gogh/the-seine-with-the-pont-de-clichy-1887-1.jpg
326,The Seine with the Pont de la Grande Jette,1887,"Paris, France","
Post-Impressionism,
Neo-Impressionism
","
cityscape
",https://uploads8.wikiart.org/images/vincent-van-gogh/the-seine-with-the-pont-de-la-grande-jette-1887.jpg
